"","WBANID","COUNTY"
"223","93767","LOUDOUN"
"224","03980","GALVESTON"
"225","03982","ST. CHARLES"
"226","74401","BUCHANAN"
"227","26557","KENAI PENINSULA BOROUGH"
"228","94154","NEZ PERCE"
"229","94180","LEMHI"
"230","93893","JEFFERSON"
"231","14869","BENZIE"
"232","53124","SAN DIEGO"
"233","94029","UINTAH"
"234","23069","GARFIELD"
"235","14838","MARQUETTE"
"236","24212","SHASTA"
"237","94703","SUFFOLK"
"238","53821","PIKE"
"239","94150","SHOSHONE"
"240","24014","WILLIAMS"
"241","04834","WAUKESHA"
"242","94044","BOULDER"
"243","53830","PANOLA"
"244","94045","ROOSEVELT"
"245","04835","CHAMPAIGN"
"246","94290","KING"
"247","94984","POLK"
"248","24119","LANDER"
"249","03835","MONTGOMERY"
"250","93826","BALDWIN"
"251","13838","MOBILE"
"252","13894","MOBILE"
"253","93855","MOBILE"
"254","93843","HOUSTON"
"255","03850","DALE"
"256","13839","HOUSTON"
"257","63873","DALE"
"258","13885","CONECUH"
"259","93875","MONROE"
"260","03878","PIKE"
"261","13895","MONTGOMERY"
"262","53809","MONTGOMERY"
"263","13850","DALLAS"
"264","93856","MONTGOMERY"
"265","13821","MONTGOMERY"
"266","13801","MONTGOMERY"
"267","13856","MACON"
"268","03892","LEE"
"269","03881","BIBB"
"270","93866","CALHOUN"
"271","03883","JEFFERSON"
"272","93869","JEFFERSON"
"273","13871","CALHOUN"
"274","13876","JEFFERSON"
"275","13818","JEFFERSON"
"276","93865","CALHOUN"
"277","03896","ETOWAH"
"278","03837","MARSHALL"
"279","03886","MADISON"
"280","03856","MADISON"
"281","53852","LIMESTONE"
"282","13826","LAWRENCE"
"283","03830","MADISON"
"284","93872","LAUDERDALE"
"285","53815","MADISON"
"286","53816","JEFFERSON"
"287","53820","CONECUH"
"288","93944","UNION"
"289","93992","UNION"
"290","13977","MILLER"
"291","93952","DREW"
"292","93927","OUACHITA"
"293","13953","HEMPSTEAD"
"294","93988","JEFFERSON"
"295","93956","JEFFERSON"
"296","03962","GARLAND"
"297","13925","PRAIRIE"
"298","13963","PULASKI"
"299","93930","PULASKI"
"300","03952","PULASKI"
"301","03930","PULASKI"
"302","53959","CRITTENDEN"
"303","13964","SEBASTIAN"
"304","03926","SEBASTIAN"
"305","93946","SEBASTIAN"
"306","93907","JACKSON"
"307","13917","JACKSON"
"308","93941","INDEPENDENCE"
"309","03953","CRAIGHEAD"
"310","13814","MISSISSIPPI"
"311","93993","WASHINGTON"
"312","13929","LAWRENCE"
"313","93912","LAWRENCE"
"314","93991","LAWRENCE"
"315","13971","BOONE"
"316","03918","MARION"
"317","93925","BENTON"
"318","03973","WASHINGTON"
"319","03978","BENTON"
"320","03196","SANTA CRUZ"
"321","93026","COCHISE"
"322","23001","COCHISE"
"323","03124","COCHISE"
"324","03169","PIMA"
"325","93148","COCHISE"
"326","23071","COCHISE"
"327","23160","PIMA"
"328","23109","PIMA"
"329","23193","PIMA"
"330","23101","PIMA"
"331","23113","PINAL"
"332","23195","YUMA"
"333","03145","YUMA"
"334","23133","YUMA"
"335","93145","YUMA"
"336","93084","GRAHAM"
"337","03119","YUMA"
"338","03125","YUMA"
"339","23168","MARICOPA"
"340","23140","PINAL"
"341","03148","PINAL"
"342","93158","GILA"
"343","23183","MARICOPA"
"344","03149","MARICOPA"
"345","93105","MARICOPA"
"346","03186","MARICOPA"
"347","03185","MARICOPA"
"348","93140","MARICOPA"
"349","23111","MARICOPA"
"350","03192","MARICOPA"
"351","03184","MARICOPA"
"352","93028","NAVAJO"
"353","93038","APACHE"
"354","93139","GILA"
"355","03101","NAVAJO"
"356","03168","MOHAVE"
"357","23184","YAVAPAI"
"358","03150","MOHAVE"
"359","93162","NAVAJO"
"360","03151","MOHAVE"
"361","23194","NAVAJO"
"362","93029","APACHE"
"363","03103","COCONINO"
"364","93174","COCONINO"
"365","23166","COCONINO"
"366","93147","YAVAPAI"
"367","93131","COCONINO"
"368","93181","MOHAVE"
"369","03162","COCONINO"
"370","93143","COCONINO"
"371","03188","COCHISE"
"372","03193","NAVAJO"
"373","03914","PINAL"
"374","03199","PIMA"
"375","93171","SAN DIEGO"
"376","93115","SAN DIEGO"
"377","93165","SAN DIEGO"
"378","93150","SAN DIEGO"
"379","93109","SAN DIEGO"
"380","93163","SAN DIEGO"
"381","93172","RIVERSIDE"
"382","93135","SAN DIEGO"
"383","93103","IMPERIAL"
"384","03144","IMPERIAL"
"385","23199","IMPERIAL"
"386","23163","IMPERIAL"
"387","93122","SAN DIEGO"
"388","23135","LOS ANGELES"
"389","93161","IMPERIAL"
"390","23178","SAN DIEGO"
"391","93153","SAN DIEGO"
"392","23197","SAN DIEGO"
"393","03146","IMPERIAL"
"394","23198","SAN DIEGO"
"395","03112","LOS ANGELES"
"396","93117","LOS ANGELES"
"397","03177","SAN DIEGO"
"398","93118","IMPERIAL"
"399","23181","SAN DIEGO"
"400","03154","SAN DIEGO"
"401","23137","VENTURA"
"402","23164","IMPERIAL"
"403","93116","VENTURA"
"404","03158","VENTURA"
"405","93196","VENTURA"
"406","93119","IMPERIAL"
"407","03123","SAN DIEGO"
"408","93168","ORANGE"
"409","23158","RIVERSIDE"
"410","23103","RIVERSIDE"
"411","93120","RIVERSIDE"
"412","23132","RIVERSIDE"
"413","03104","RIVERSIDE"
"414","23172","RIVERSIDE"
"415","03153","ORANGE"
"416","93101","ORANGE"
"417","93184","ORANGE"
"418","23125","ORANGE"
"419","03105","RIVERSIDE"
"420","93185","RIVERSIDE"
"421","93114","ORANGE"
"422","93182","LOS ANGELES"
"423","23105","RIVERSIDE"
"424","03157","LOS ANGELES"
"425","93113","LOS ANGELES"
"426","93138","RIVERSIDE"
"427","23117","RIVERSIDE"
"428","93106","ORANGE"
"429","23129","LOS ANGELES"
"430","03122","LOS ANGELES"
"431","23139","LOS ANGELES"
"432","03174","LOS ANGELES"
"433","03166","ORANGE"
"434","23156","RIVERSIDE"
"435","03106","RIVERSIDE"
"436","23119","RIVERSIDE"
"437","93195","RIVERSIDE"
"438","03167","LOS ANGELES"
"439","23145","LOS ANGELES"
"440","23174","LOS ANGELES"
"441","23218","SANTA BARBARA"
"442","03171","RIVERSIDE"
"443","03179","SAN BERNARDINO"
"444","03173","SANTA BARBARA"
"445","93191","LOS ANGELES"
"446","03130","LOS ANGELES"
"447","93197","LOS ANGELES"
"448","93125","VENTURA"
"449","23120","SAN BERNARDINO"
"450","23115","SAN BERNARDINO"
"451","93180","SAN BERNARDINO"
"452","03102","SAN BERNARDINO"
"453","03165","LOS ANGELES"
"454","93134","LOS ANGELES"
"455","23296","SANTA BARBARA"
"456","23122","SAN BERNARDINO"
"457","93156","SAN BERNARDINO"
"458","03180","SAN BERNARDINO"
"459","93111","VENTURA"
"460","93130","LOS ANGELES"
"461","23150","LOS ANGELES"
"462","23116","LOS ANGELES"
"463","23152","LOS ANGELES"
"464","93183","VENTURA"
"465","93136","LOS ANGELES"
"466","23130","LOS ANGELES"
"467","23136","VENTURA"
"468","93110","VENTURA"
"469","93121","SAN BERNARDINO"
"470","93152","SAN BERNARDINO"
"471","03155","LOS ANGELES"
"472","23180","LOS ANGELES"
"473","93186","LOS ANGELES"
"474","93124","SANTA BARBARA"
"475","23190","SANTA BARBARA"
"476","23131","SAN BERNARDINO"
"477","93220","SANTA BARBARA"
"478","93219","SANTA BARBARA"
"479","23204","SANTA BARBARA"
"480","93221","SANTA BARBARA"
"481","23265","SANTA BARBARA"
"482","23182","LOS ANGELES"
"483","93244","SANTA BARBARA"
"484","23243","SANTA BARBARA"
"485","93215","SANTA BARBARA"
"486","93214","SANTA BARBARA"
"487","93223","SANTA BARBARA"
"488","03159","LOS ANGELES"
"489","23187","LOS ANGELES"
"490","93159","SAN BERNARDINO"
"491","93170","KERN"
"492","93151","SAN BERNARDINO"
"493","23114","KERN"
"494","23236","SANTA BARBARA"
"495","23273","SANTA BARBARA"
"496","23142","KERN"
"497","93108","KERN"
"498","93188","KERN"
"499","23127","KERN"
"500","23126","KERN"
"501","93187","KERN"
"502","03134","SAN BERNARDINO"
"503","93149","SAN BERNARDINO"
"504","03182","SAN BERNARDINO"
"505","03147","SAN BERNARDINO"
"506","23192","SAN BERNARDINO"
"507","23148","SAN BERNARDINO"
"508","03176","SAN BERNARDINO"
"509","23223","SAN LUIS OBISPO"
"510","23155","KERN"
"511","23295","SAN LUIS OBISPO"
"512","23282","SAN LUIS OBISPO"
"513","93179","SAN BERNARDINO"
"514","23102","KERN"
"515","23216","SAN LUIS OBISPO"
"516","23231","SAN LUIS OBISPO"
"517","23222","SAN LUIS OBISPO"
"518","93104","KERN"
"519","93194","KERN"
"520","93173","KERN"
"521","93209","SAN LUIS OBISPO"
"522","23267","SAN LUIS OBISPO"
"523","93226","SAN LUIS OBISPO"
"524","93166","KERN"
"525","03120","KERN"
"526","03138","INYO"
"527","03142","INYO"
"528","23149","TULARE"
"529","93218","MONTEREY"
"530","23253","FRESNO"
"531","23252","FRESNO"
"532","23284","MONTEREY"
"533","23110","FRESNO"
"534","93144","TULARE"
"535","23269","MONTEREY"
"536","03126","INYO"
"537","23259","MONTEREY"
"538","23245","MONTEREY"
"539","23260","MONTEREY"
"540","23288","FRESNO"
"541","23207","MONTEREY"
"542","23233","MONTEREY"
"543","93217","MONTEREY"
"544","93204","SAN BENITO"
"545","23241","SAN BENITO"
"546","23249","SANTA CRUZ"
"547","23277","SANTA CRUZ"
"548","23283","SANTA CLARA"
"549","23287","MERCED"
"550","93224","SANTA CLARA"
"551","23286","MERCED"
"552","23261","SANTA CLARA"
"553","93232","SANTA CLARA"
"554","23157","INYO"
"555","23138","INYO"
"556","23203","MERCED"
"557","23278","MERCED"
"558","23298","SANTA CLARA"
"559","93207","SANTA CLARA"
"560","23215","SAN MATEO"
"561","23240","STANISLAUS"
"562","23251","SANTA CLARA"
"563","23244","SANTA CLARA"
"564","23289","SAN MATEO"
"565","93231","SAN MATEO"
"566","23266","SAN MATEO"
"567","93222","SAN MATEO"
"568","23258","STANISLAUS"
"569","23248","STANISLAUS"
"570","03181","MONO"
"571","23242","ALAMEDA"
"572","93228","ALAMEDA"
"573","23285","ALAMEDA"
"574","23230","ALAMEDA"
"575","93211","ALAMEDA"
"576","23270","SAN FRANCISCO"
"577","23250","SAN FRANCISCO"
"578","23299","SAN JOAQUIN"
"579","23239","ALAMEDA"
"580","23292","ALAMEDA"
"581","23272","SAN FRANCISCO"
"582","23205","ALAMEDA"
"583","23281","SAN FRANCISCO"
"584","23151","SAN FRANCISCO"
"585","23237","SAN JOAQUIN"
"586","23214","SAN JOAQUIN"
"587","23263","CONTRA COSTA"
"588","23262","CONTRA COSTA"
"589","23254","CONTRA COSTA"
"590","23294","CONTRA COSTA"
"591","93177","MONO"
"592","23217","CONTRA COSTA"
"593","23290","MARIN"
"594","23279","SACRAMENTO"
"595","23211","MARIN"
"596","93213","MARIN"
"597","23291","SOLANO"
"598","23276","SAN JOAQUIN"
"599","93227","NAPA"
"600","23202","SOLANO"
"601","23246","SONOMA"
"602","23209","SONOMA"
"603","23232","SACRAMENTO"
"604","93202","YOLO"
"605","23213","SONOMA"
"606","23274","SONOMA"
"607","23220","SONOMA"
"608","23206","SACRAMENTO"
"609","23271","SACRAMENTO"
"610","23208","SACRAMENTO"
"611","93225","SACRAMENTO"
"612","93230","EL DORADO"
"613","23224","PLACER"
"614","93208","MENDOCINO"
"615","23264","MENDOCINO"
"616","93216","YUBA"
"617","93205","YUBA"
"618","23212","YUBA"
"619","23238","COLUSA"
"620","23275","MENDOCINO"
"621","23225","PLACER"
"622","23255","MENDOCINO"
"623","93201","NEVADA"
"624","93212","NEVADA"
"625","23226","NEVADA"
"626","23256","MENDOCINO"
"627","23210","MENDOCINO"
"628","93210","BUTTE"
"629","23297","SIERRA"
"630","93203","BUTTE"
"631","23201","BUTTE"
"632","23280","TEHAMA"
"633","94262","HUMBOLDT"
"634","24265","LASSEN"
"635","24256","HUMBOLDT"
"636","24263","HUMBOLDT"
"637","24261","SHASTA"
"638","24245","HUMBOLDT"
"639","24283","HUMBOLDT"
"640","24170","SISKIYOU"
"641","94264","MODOC"
"642","24259","SISKIYOU"
"643","24214","SISKIYOU"
