state,county,year,freezing_days
WI,MARATHON,2021,57
MI,MENOMINEE,2021,43
IA,CLAY,2021,40
SD,CODINGTON,2021,61
MN,BLUE EARTH,2021,46
MN,PENNINGTON,2021,66
MT,SILVER BOW,2021,27
IL,MARION,2021,16
IL,RICHLAND,2021,16
NY,CHAUTAUQUA,2021,23
OH,GREENE,2021,17
CO,BOULDER,2021,84
CA,MARIPOSA,2021,19
MO,LINN,2021,22
CO,GRAND,2021,33
AK,MATANUSKA-SUSITNA BOROUGH,2020,83
AK,YUKON-KOYUKUK,2020,120
AK,NORTHWEST ARCTIC BOROUGH,2020,120
AK,NORTH SLOPE BOROUGH,2020,153
AK,BETHEL,2020,35
WI,VILAS,2020,72
MT,CASCADE,2020,24
AK,SOUTHEAST FAIRBANKS,2020,147
AK,WADE HAMPTON,2020,96
AK,KENAI PENINSULA BOROUGH,2020,44
AK,FAIRBANKS NORTH STAR BOROUGH,2020,139
AK,DENALI BOROUGH,2020,116
AK,ANCHORAGE BOROUGH,2020,72
AK,LAKE AND PENINSULA BOROUGH,2020,46
WY,SUBLETTE,2020,61
VT,ORLEANS,2020,36
UT,BOX ELDER,2020,6
IA,APPANOOSE,2020,18
IA,HARDIN,2020,38
IL,ADAMS,2020,17
KS,BARTON,2020,3
CO,RIO BLANCO,2020,27
CO,PITKIN,2020,30
CO,LARIMER,2020,2
UT,CACHE,2020,20
NY,ORANGE,2020,9
NY,ONONDAGA,2020,11
IA,POWESHIEK,2020,31
NE,CUSTER,2020,18
WY,TETON,2020,45
NH,MERRIMACK,2020,10
ME,PISCATAQUIS,2020,53
NY,FRANKLIN,2020,44
WI,TAYLOR,2020,83
WI,ASHLAND,2020,61
WI,MARATHON,2020,60
WI,BARRON,2020,48
SD,DAVISON,2020,40
MN,ST. LOUIS,2020,66
MN,RICE,2020,51
MN,OTTER TAIL,2020,81
WI,WOOD,2020,51
MN,ANOKA,2020,48
MN,HENNEPIN,2020,37
MN,DAKOTA,2020,47
WY,CARBON,2020,47
MT,FALLON,2020,37
MT,PARK,2020,21
ID,SHOSHONE,2020,91
ID,LEMHI,2020,19
MI,MACKINAC,2020,38
MN,HUBBARD,2020,85
MN,ITASCA,2020,83
MN,KOOCHICHING,2020,84
MN,LAKE OF THE WOODS,2020,97
MN,SWIFT,2020,61
MN,CASS,2020,84
ND,CASS,2020,70
ND,STUTSMAN,2020,74
MN,BELTRAMI,2020,96
ND,GRAND FORKS,2020,81
ND,ADAMS,2020,32
MT,ROOSEVELT,2020,28
MT,LEWIS AND CLARK,2020,12
IN,GRANT,2020,18
ND,BILLINGS,2020,41
ND,BURKE,2020,83
AK,COPPER RIVER CENSUS AREA,2020,155
OH,WAYNE,2020,16
MI,ALGER,2020,38
CO,MOFFAT,2020,33
MI,OTSEGO,2020,67
MN,PINE,2020,69
CO,BOULDER,2020,74
AK,ALEUTIANS EAST BOROUGH,2020,19
AK,NOME,2020,105
MN,MURRAY,2020,68
AK,BRISTOL BAY BOROUGH,2020,57
AK,SKAGWAY-HOONAH-ANGOON,2020,9
WV,UPSHUR,2020,8
MN,GOODHUE,2020,48
ND,RICHLAND,2020,54
IL,KNOX,2020,22
MN,WRIGHT,2020,55
NE,THOMAS,2020,16
IN,VANDERBURGH,2020,2
MO,ADAIR,2020,21
CO,LINCOLN,2020,10
CO,GUNNISON,2020,67
NY,WESTCHESTER,2020,5
OH,CUYAHOGA,2020,6
MI,HURON,2020,13
MI,INGHAM,2020,23
IA,DES MOINES,2020,20
IA,DUBUQUE,2020,31
IA,CERRO GORDO,2020,51
NE,HALL,2020,11
NE,DAWSON,2020,13
NE,CHERRY,2020,10
WY,SWEETWATER,2020,39
ID,BONNEVILLE,2020,46
ME,HANCOCK,2020,14
MI,MARQUETTE,2020,65
MI,MUSKEGON,2020,12
MI,WEXFORD,2020,51
MI,IOSCO,2020,31
WI,LA CROSSE,2020,36
WI,JUNEAU,2020,36
WI,GRANT,2020,25
MI,MENOMINEE,2020,37
SD,BROOKINGS,2020,66
SD,MEADE,2020,15
SD,CODINGTON,2020,71
SD,HUGHES,2020,34
MN,MARTIN,2020,53
WY,PARK,2020,10
WY,FREMONT,2020,27
ID,MADISON,2020,50
ND,RAMSEY,2020,78
ND,WARD,2020,59
ND,MCLEAN,2020,61
MT,BEAVERHEAD,2020,33
WA,GRANT,2020,1
NH,STRAFFORD,2020,8
WY,CROOK,2020,64
ND,KIDDER,2020,76
NE,GRANT,2020,22
CO,GRAND,2020,54
MN,COOK,2022,85
AK,NORTHWEST ARCTIC BOROUGH,2022,129
AK,YUKON-KOYUKUK,2022,121
CO,GRAND,2022,81
MD,BALTIMORE,2022,3
AK,WADE HAMPTON,2022,105
UT,GARFIELD,2022,20
MN,BLUE EARTH,2022,69
WY,FREMONT,2022,29
AK,NORTH SLOPE BOROUGH,2022,141
AK,NOME,2022,106
AK,FAIRBANKS NORTH STAR BOROUGH,2022,139
AK,MATANUSKA-SUSITNA BOROUGH,2022,57
AK,SOUTHEAST FAIRBANKS,2022,145
AK,BRISTOL BAY BOROUGH,2022,39
AK,SKAGWAY-HOONAH-ANGOON,2022,19
AK,JUNEAU BOROUGH,2022,29
MI,ALGER,2022,64
MO,JACKSON,2022,15
PA,BUCKS,2022,10
MI,BENZIE,2022,49
IA,O'BRIEN,2022,49
KY,WAYNE,2022,2
IA,HANCOCK,2022,59
MN,GOODHUE,2022,65
ND,RICHLAND,2022,101
NE,WAYNE,2022,41
WI,LINCOLN,2022,83
NE,BOONE,2022,37
NM,QUAY,2022,2
WI,RUSK,2022,80
DE,KENT,2022,4
OH,RICHLAND,2022,36
OH,FRANKLIN,2022,14
KS,RENO,2022,13
KS,FORD,2022,11
KS,MORTON,2022,5
CO,LAKE,2022,51
CO,EAGLE,2022,26
MA,FRANKLIN,2022,23
PA,CLEARFIELD,2022,29
PA,BLAIR,2022,22
NY,OSWEGO,2022,32
VT,RUTLAND,2022,31
NY,ONEIDA,2022,39
OH,TRUMBULL,2022,27
PA,ERIE,2022,28
IN,ST. JOSEPH,2022,37
MI,WAYNE,2022,25
IL,WINNEBAGO,2022,39
IL,ROCK ISLAND,2022,34
IA,WEBSTER,2022,42
NE,DOUGLAS,2022,30
NE,VALLEY,2022,31
IA,WOODBURY,2022,34
NE,LINCOLN,2022,20
NE,DAWSON,2022,24
WY,LARAMIE,2022,23
NE,CHERRY,2022,31
WY,SWEETWATER,2022,44
WY,TETON,2022,61
ID,VALLEY,2022,51
NH,COOS,2022,44
VT,BENNINGTON,2022,34
VT,CHITTENDEN,2022,36
NY,ST. LAWRENCE,2022,52
