state,county,year,freezing_days
NE,WAYNE,2013,24
VT,ORLEANS,2013,8
MI,IOSCO,2013,63
OK,SEQUOYAH,2013,2
IL,CHRISTIAN,2013,27
CO,MESA,2013,39
TN,SULLIVAN,2013,2
MA,HAMPDEN,2013,20
OH,LUCAS,2013,38
NE,LANCASTER,2013,23
NM,RIO ARRIBA,2013,20
ND,KIDDER,2013,121
CO,BOULDER,2013,86
SD,LYMAN,2013,58
WY,CROOK,2013,73
AK,KENAI PENINSULA BOROUGH,2013,29
CA,MARIPOSA,2013,13
NM,SAN JUAN,2013,14
AK,COPPER RIVER CENSUS AREA,2013,61
MI,MACOMB,2013,42
MN,HUBBARD,2013,103
IL,LAKE,2013,50
VT,RUTLAND,2013,48
NE,BUFFALO,2013,30
RI,PROVIDENCE,2013,21
WY,PARK,2013,35
AR,PRAIRIE,2013,3
ME,OXFORD,2013,39
IL,MONTGOMERY,2013,20
VT,CALEDONIA,2013,57
MI,GRAND TRAVERSE,2013,63
OH,SUMMIT,2013,28
IN,ELKHART,2013,38
ID,ELMORE,2013,32
ME,LINCOLN,2013,33
NY,CLINTON,2013,50
IA,WAPELLO,2013,41
OH,MUSKINGUM,2013,25
MA,FRANKLIN,2013,33
IA,MARSHALL,2013,58
MI,KENT,2013,43
PA,ERIE,2013,34
KS,FORD,2013,11
CO,PITKIN,2013,42
OH,TRUMBULL,2013,35
NY,MONROE,2013,31
IA,DUBUQUE,2013,63
SD,MINNEHAHA,2013,60
NH,MERRIMACK,2013,30
MA,MIDDLESEX,2013,23
MI,JACKSON,2013,46
NY,DUTCHESS,2013,14
CO,ARAPAHOE,2013,22
ND,CASS,2013,99
UT,CACHE,2013,61
NV,ELKO,2013,32
OH,MONTGOMERY,2013,18
ID,TWIN FALLS,2013,29
MI,GENESEE,2013,44
SD,BEADLE,2013,62
ND,STUTSMAN,2013,106
CA,MODOC,2013,15
ID,MADISON,2013,63
MA,NORFOLK,2013,17
MT,GARFIELD,2013,38
KS,COWLEY,2013,11
DE,SUSSEX,2013,3
NM,SANTA FE,2013,12
NV,WASHOE,2013,12
IL,PIKE,2013,17
MT,MISSOULA,2013,29
NE,CHASE,2013,21
NV,WHITE PINE,2013,19
MT,VALLEY,2013,63
OH,CLARK,2013,28
OH,CLINTON,2013,19
VT,BENNINGTON,2013,37
ID,VALLEY,2013,54
NE,RED WILLOW,2013,17
CA,EL DORADO,2013,9
KY,HARDIN,2013,4
IA,DECATUR,2013,36
IN,DELAWARE,2013,32
MN,LAKE OF THE WOODS,2013,109
VT,LAMOILLE,2013,51
SD,HARDING,2013,36
WA,SPOKANE,2013,20
OK,TULSA,2013,4
WI,WOOD,2013,79
WA,YAKIMA,2013,16
MT,YELLOWSTONE,2013,22
OH,HANCOCK,2013,38
DE,NEW CASTLE,2013,5
IN,ALLEN,2013,35
OR,WASHINGTON,2013,4
OH,GREENE,2013,23
CO,RIO BLANCO,2013,46
OR,MALHEUR,2013,25
NY,ALBANY,2013,28
MT,HILL,2013,38
AK,BRISTOL BAY BOROUGH,2013,47
MO,JASPER,2013,8
IN,GRANT,2013,4
NY,CHAUTAUQUA,2013,41
MN,OLMSTED,2013,70
OH,BUTLER,2013,10
NV,PERSHING,2013,25
SD,DAVISON,2013,57
MO,CLAY,2013,18
NJ,CUMBERLAND,2013,6
ME,KENNEBEC,2013,46
NE,DAWES,2013,29
UT,IRON,2013,26
MT,FERGUS,2013,35
MA,WORCESTER,2013,38
WA,KITSAP,2013,3
WI,PRICE,2013,74
ME,YORK,2013,36
PA,BUCKS,2013,10
KS,PRATT,2013,15
VA,WISE,2013,4
MN,BLUE EARTH,2013,56
UT,UTAH,2013,51
NY,SULLIVAN,2013,48
NE,PLATTE,2013,31
NY,WESTCHESTER,2017,11
OK,GARFIELD,2017,4
MA,SUFFOLK,2017,12
IN,ALLEN,2017,17
VA,BATH,2017,19
IL,MARION,2017,12
MD,HARFORD,2017,7
ND,WILLIAMS,2017,64
MN,NOBLES,2017,55
CA,NEVADA,2017,13
MN,PENNINGTON,2017,89
NY,ORANGE,2017,21
WV,WYOMING,2017,8
IN,SHELBY,2017,11
IL,WILL,2017,21
MI,MENOMINEE,2017,44
ID,LEMHI,2017,49
MI,GOGEBIC,2017,74
AK,KODIAK ISLAND BOROUGH,2017,15
AK,SKAGWAY-HOONAH-ANGOON,2017,18
IN,KOSCIUSKO,2017,26
MI,BENZIE,2017,44
VT,ORLEANS,2017,59
NJ,SOMERSET,2017,10
MN,LYON,2017,49
MI,VAN BUREN,2017,29
OK,LOGAN,2017,5
NM,QUAY,2017,3
DC,LOUDOUN,2017,6
NJ,ATLANTIC,2017,7
OH,RICHLAND,2017,25
OH,HAMILTON,2017,10
IN,VANDERBURGH,2017,8
MO,ST. LOUIS,2017,12
IN,ELKHART,2017,22
IL,SANGAMON,2017,15
MO,BUCHANAN,2017,16
KS,FINNEY,2017,11
KS,LYON,2017,10
KS,SHAWNEE,2017,12
CO,LAKE,2017,39
CO,EAGLE,2017,12
CO,MESA,2017,3
NV,CHURCHILL,2017,2
NJ,BERGEN,2017,8
MA,WORCESTER,2017,31
NY,TOMPKINS,2017,36
PA,INDIANA,2017,25
IA,POWESHIEK,2017,30
IL,COOK,2017,17
IL,DUPAGE,2017,26
IN,ST. JOSEPH,2017,28
MI,KEWEENAW,2017,60
MI,MECOSTA,2017,48
MI,MONROE,2017,27
PA,MONROE,2017,33
IA,STORY,2017,33
IA,BLACK HAWK,2017,30
NE,LANCASTER,2017,16
NE,BROWN,2017,29
WY,ALBANY,2017,31
NE,SCOTTS BLUFF,2017,20
CO,MOFFAT,2017,22
NV,ELKO,2017,18
ID,BLAINE,2017,40
OR,LAKE,2017,17
ME,OXFORD,2017,34
ME,KENNEBEC,2017,35
MI,ALPENA,2017,49
MI,IOSCO,2017,49
MN,OLMSTED,2017,48
WI,BROWN,2017,45
WI,MANITOWOC,2017,45
IA,CLAY,2017,45
SD,MINNEHAHA,2017,37
SD,CODINGTON,2017,65
MN,CROW WING,2017,75
MN,DOUGLAS,2017,66
SD,HUGHES,2017,50
MN,DAKOTA,2017,54
WY,CAMPBELL,2017,25
WY,BIG HORN,2017,46
ID,MADISON,2017,49
OR,UMATILLA,2017,17
MN,COOK,2017,71
ND,CASS,2017,55
MT,MISSOULA,2017,39
MT,SILVER BOW,2017,52
WA,KITTITAS,2017,27
WA,CHELAN,2017,38
OK,ELLIS,2017,5
KY,CHRISTIAN,2017,7
ND,BURKE,2017,52
IL,DEKALB,2017,21
CO,BOULDER,2017,42
WI,MILWAUKEE,2017,22
WI,ROCK,2017,27
MA,BARNSTABLE,2017,9
KS,BARTON,2017,11
ME,HANCOCK,2017,34
ME,KNOX,2017,32
VT,WINDSOR,2017,36
NH,BELKNAP,2017,35
AK,JUNEAU BOROUGH,2017,44
CO,GRAND,2017,15
MI,TUSCOLA,2017,46
NC,WATAUGA,2017,7
MS,TUNICA,2017,4
TX,HEMPHILL,2017,4
NM,CIBOLA,2017,3
PA,DAUPHIN,2017,10
MD,WASHINGTON,2017,8
NJ,MERCER,2017,9
WV,BERKELEY,2017,8
IL,ST. CLAIR,2017,13
MO,GREENE,2017,5
MO,MARIES,2017,13
MO,ST. FRANCOIS,2017,9
MO,CLAY,2017,12
KS,GEARY,2017,12
KS,GRAHAM,2017,14
CO,PITKIN,2017,15
CO,WASHINGTON,2017,14
UT,CARBON,2017,9
UT,GARFIELD,2017,15
NY,NEW YORK,2017,10
NY,SULLIVAN,2017,41
NY,CHEMUNG,2017,23
NY,ALBANY,2017,21
PA,ALLEGHENY,2017,13
NY,MONROE,2017,28
MI,MACOMB,2017,35
MI,JACKSON,2017,31
IA,DES MOINES,2017,18
IA,LINN,2017,32
IA,FLOYD,2017,36
IA,DUBUQUE,2017,29
NE,HALL,2017,21
NE,BUFFALO,2017,22
NE,CHASE,2017,15
UT,SALT LAKE,2017,12
UT,DAVIS,2017,18
ID,BONNEVILLE,2017,48
VT,BENNINGTON,2017,28
VT,CHITTENDEN,2017,39
MI,GENESEE,2017,34
WI,RACINE,2017,31
SD,SHANNON,2017,31
SD,TRIPP,2017,30
MN,OTTER TAIL,2017,73
WY,JOHNSON,2017,28
SD,WALWORTH,2017,52
ID,ELMORE,2017,32
OR,MULTNOMAH,2017,5
WA,KLICKITAT,2017,20
MI,CHIPPEWA,2017,54
MI,HOUGHTON,2017,65
MN,HUBBARD,2017,79
MT,BEAVERHEAD,2017,38
MT,HILL,2017,55
WA,FRANKLIN,2017,24
IL,RANDOLPH,2017,14
IL,WAYNE,2017,11
NY,CHAUTAUQUA,2017,29
MD,PRINCE GEORGE'S,2017,7
IN,LAWRENCE,2017,5
NE,SIOUX,2017,18
IA,JASPER,2017,18
CA,MARIPOSA,2017,14
ND,BILLINGS,2017,47
MN,STEARNS,2018,86
IN,KOSCIUSKO,2018,29
MN,FREEBORN,2018,77
MN,BELTRAMI,2018,109
IN,GRANT,2018,33
IA,AUDUBON,2018,45
ID,VALLEY,2018,34
MT,GLACIER,2018,58
AK,ALEUTIANS EAST BOROUGH,2018,7
MI,DICKINSON,2018,79
NY,FRANKLIN,2018,70
ID,POWER,2018,13
MI,WASHTENAW,2018,28
NY,WESTCHESTER,2018,13
IA,WEBSTER,2018,44
AR,BOONE,2018,9
CT,HARTFORD,2018,11
NY,LIVINGSTON,2018,17
NE,HALL,2018,24
OH,RICHLAND,2018,25
MN,BLUE EARTH,2018,73
MT,CASCADE,2018,35
UT,CACHE,2018,16
VT,LAMOILLE,2018,50
OH,MONTGOMERY,2018,18
OH,HAMILTON,2018,14
ND,BURLEIGH,2018,66
CO,EL PASO,2018,5
WY,CAMPBELL,2018,25
MN,PENNINGTON,2018,106
SD,BRULE,2018,41
NE,WAYNE,2018,46
WY,ALBANY,2018,26
MI,INGHAM,2018,29
NE,BROWN,2018,43
WI,DANE,2018,42
WI,PRICE,2018,89
MN,ROCK,2018,60
MI,MENOMINEE,2018,45
MO,CLAY,2018,17
AR,JACKSON,2018,8
WI,WOOD,2018,77
IL,JACKSON,2018,16
ID,BONNEVILLE,2018,30
NH,HILLSBOROUGH,2018,12
MS,CARROLL,2018,4
VA,ROANOKE,2018,6
NH,MERRIMACK,2018,20
MA,DUKES,2018,11
MT,YELLOWSTONE,2018,27
NE,VALLEY,2018,33
NC,FORSYTH,2018,7
WY,SUBLETTE,2018,36
WA,CHELAN,2018,10
VA,PITTSYLVANIA,2018,5
VA,STAFFORD,2018,6
ME,OXFORD,2018,35
AR,MISSISSIPPI,2018,8
NE,CHASE,2018,15
NY,ONONDAGA,2018,28
IN,VANDERBURGH,2018,13
IL,ROCK ISLAND,2018,24
PA,LEHIGH,2018,10
ME,CUMBERLAND,2018,23
CO,ALAMOSA,2018,6
NJ,MERCER,2018,9
CO,WASHINGTON,2018,9
NC,WAKE,2018,3
KS,RENO,2018,12
DC,LOUDOUN,2018,8
OH,GREENE,2018,19
KY,HENDERSON,2018,15
NC,STANLY,2018,4
IL,CHRISTIAN,2018,27
VA,DINWIDDIE,2018,6
IA,O'BRIEN,2018,53
VA,CULPEPER,2018,7
OK,CANADIAN,2018,7
IL,VERMILION,2018,32
VA,SMYTH,2018,7
IL,WHITE,2018,16
NJ,MORRIS,2018,10
GA,WHITFIELD,2018,3
PA,MONTGOMERY,2018,10
IN,DUBOIS,2018,14
MO,JOHNSON,2018,22
NY,ERIE,2018,25
NJ,ESSEX,2018,8
IA,CLARKE,2018,32
ID,CASSIA,2018,12
MT,PARK,2018,24
IA,SCOTT,2018,34
NE,BURT,2018,42
SD,MCPHERSON,2018,98
CO,MOFFAT,2018,13
MN,PINE,2018,92
SD,LYMAN,2018,50
NV,WHITE PINE,2018,11
WY,CROOK,2018,70
ME,PISCATAQUIS,2018,70
MN,COOK,2018,80
WI,RACINE,2018,36
NE,KIMBALL,2018,10
IA,FLOYD,2018,54
NY,OSWEGO,2018,21
PA,BUCKS,2018,10
MN,ANOKA,2018,68
CO,ARAPAHOE,2018,6
WY,BIG HORN,2018,46
SD,LYMAN,2015,41
SD,MCPHERSON,2015,68
KS,RILEY,2015,17
NV,WHITE PINE,2015,13
RI,WASHINGTON,2015,15
NE,GRANT,2015,39
NE,PLATTE,2015,27
SD,BRULE,2015,34
TX,HEMPHILL,2015,3
IL,MARION,2015,17
IN,LAWRENCE,2015,22
WY,LINCOLN,2015,17
NY,ORANGE,2015,37
IA,HANCOCK,2015,45
NE,BURT,2015,25
MN,DAKOTA,2015,51
SD,BROOKINGS,2015,12
WA,WALLA WALLA,2015,16
NE,WAYNE,2015,28
MA,ESSEX,2015,32
WI,IOWA,2015,42
NM,CURRY,2015,5
OK,WASHITA,2015,4
NY,TOMPKINS,2015,52
UT,MILLARD,2015,16
CA,NEVADA,2015,13
MN,HENNEPIN,2015,45
IA,JOHNSON,2015,31
UT,DAVIS,2015,16
NY,JEFFERSON,2015,48
IL,MCLEAN,2015,26
OH,SUMMIT,2015,27
PA,WESTMORELAND,2015,27
MN,AITKIN,2015,67
SD,SHANNON,2015,26
WI,BARRON,2015,65
VA,DINWIDDIE,2015,2
PA,LUZERNE,2015,23
MN,YELLOW MEDICINE,2015,42
MN,MURRAY,2015,52
KS,BARTON,2015,16
MO,BUCHANAN,2015,22
OH,CLARK,2015,25
IL,CRAWFORD,2015,20
MI,MECOSTA,2015,54
ID,LEMHI,2015,33
IL,WILL,2015,35
MI,EMMET,2015,65
TN,SULLIVAN,2015,6
OH,GREENE,2015,25
MI,CLINTON,2015,41
NY,LIVINGSTON,2015,38
WY,CARBON,2015,31
ID,POWER,2015,20
VA,MECKLENBURG,2015,2
MI,KALAMAZOO,2015,42
NY,ALLEGANY,2015,50
NY,MONROE,2015,45
CO,PUEBLO,2015,10
ND,BURLEIGH,2015,48
NY,WESTCHESTER,2015,23
OH,CLINTON,2015,23
MT,CUSTER,2015,38
MI,SHIAWASSEE,2015,42
WI,RUSK,2015,65
IN,ALLEN,2015,34
MI,GRAND TRAVERSE,2015,50
WY,CONVERSE,2015,26
ND,STUTSMAN,2015,64
VA,LOUDOUN,2015,10
CT,WINDHAM,2015,25
MN,CROW WING,2015,64
IA,POLK,2015,25
WI,MILWAUKEE,2015,38
NJ,SOMERSET,2015,18
MI,MENOMINEE,2015,62
IL,ALEXANDER,2015,12
IA,CERRO GORDO,2015,43
WY,CAMPBELL,2015,28
WY,SWEETWATER,2015,31
MN,OLMSTED,2015,58
MD,PRINCE GEORGE'S,2015,9
OR,DESCHUTES,2015,9
CO,PITKIN,2015,20
TN,DAVIDSON,2015,6
WY,JOHNSON,2015,23
ID,MADISON,2015,30
IL,ADAMS,2015,20
MI,JACKSON,2015,43
NE,DAWES,2015,25
NE,SCOTTS BLUFF,2015,21
NY,YATES,2015,45
WY,WASHAKIE,2015,46
AK,KODIAK ISLAND BOROUGH,2015,6
ME,OXFORD,2015,46
MN,DOUGLAS,2015,65
WI,LA CROSSE,2015,40
SD,WALWORTH,2015,42
CO,MONTEZUMA,2015,7
NH,MERRIMACK,2015,34
MT,SILVER BOW,2015,35
NY,ST. LAWRENCE,2015,59
ID,VALLEY,2015,29
IL,ROCK ISLAND,2015,29
MD,ANNE ARUNDEL,2015,9
MN,HUBBARD,2015,67
MO,JACKSON,2015,10
CO,ALAMOSA,2015,13
UT,CARBON,2015,11
MA,PLYMOUTH,2015,14
VA,HANOVER,2015,7
PA,CENTRE,2015,34
WV,GREENBRIER,2015,11
CO,GRAND,2015,35
CO,MOFFAT,2015,25
NE,THOMAS,2015,17
MN,ROCK,2015,45
MI,WAYNE,2015,26
MN,MARTIN,2015,51
OH,FAIRFIELD,2015,21
MN,ANOKA,2015,53
MN,OTTER TAIL,2015,71
VT,BENNINGTON,2015,47
NE,CHASE,2015,17
SD,YANKTON,2015,42
MI,ALPENA,2015,56
IA,DES MOINES,2015,27
ND,BURKE,2016,70
CO,MOFFAT,2016,41
AK,NORTHWEST ARCTIC BOROUGH,2016,116
SD,LYMAN,2016,47
ME,PENOBSCOT,2016,30
ME,AROOSTOOK,2016,46
CA,MARIPOSA,2016,12
MN,PINE,2016,66
CO,BOULDER,2016,74
NH,STRAFFORD,2016,20
AK,SOUTHEAST FAIRBANKS,2016,106
AK,DENALI BOROUGH,2016,86
AK,NORTH SLOPE BOROUGH,2016,147
AK,FAIRBANKS NORTH STAR BOROUGH,2016,110
AK,KENAI PENINSULA BOROUGH,2016,11
AK,COPPER RIVER CENSUS AREA,2016,119
NY,DUTCHESS,2016,7
MT,ROOSEVELT,2016,40
WI,JUNEAU,2016,48
NY,CORTLAND,2016,38
SD,HARDING,2016,27
AK,YUKON-KOYUKUK,2016,95
AK,MATANUSKA-SUSITNA BOROUGH,2016,50
NH,COOS,2016,33
AK,LAKE AND PENINSULA BOROUGH,2016,4
SD,BROOKINGS,2016,48
SD,BRULE,2016,40
IA,HANCOCK,2016,45
MN,MURRAY,2016,57
MN,ST. LOUIS,2016,62
WI,VILAS,2016,74
WI,TAYLOR,2016,70
WI,IOWA,2016,39
WI,ROCK,2016,39
MN,STEARNS,2016,59
MT,GALLATIN,2016,29
ND,WARD,2016,52
NE,DAWSON,2016,15
MT,DAWSON,2016,43
AK,NOME,2016,85
VT,ORLEANS,2016,44
SD,OTTER TAIL,2016,62
ID,LEMHI,2016,60
MN,NOBLES,2016,51
IA,CLARKE,2016,31
WA,KITTITAS,2016,17
WY,LINCOLN,2016,20
KS,COWLEY,2016,8
AK,WADE HAMPTON,2016,82
ID,BLAINE,2016,42
MI,MACOMB,2016,32
MI,MARQUETTE,2016,79
MI,GOGEBIC,2016,74
MI,WEXFORD,2016,59
MI,KEWEENAW,2016,49
MN,BLUE EARTH,2016,51
WI,MARATHON,2016,56
WI,SAWYER,2016,63
AK,ANCHORAGE BOROUGH,2016,23
WY,TETON,2016,62
CO,EAGLE,2016,25
MN,PENNINGTON,2016,71
MN,WRIGHT,2016,54
CO,ROUTT,2016,44
MO,ADAIR,2016,26
IA,DES MOINES,2016,28
WY,PARK,2016,25
WI,WOOD,2016,56
MN,SHERBURNE,2016,51
ND,RAMSEY,2016,73
MN,HENNEPIN,2016,42
IA,STORY,2016,37
IA,MARSHALL,2016,38
IL,LAKE,2016,38
WI,WINNEBAGO,2016,50
IA,CLAY,2016,46
MN,COOK,2016,66
MN,REDWOOD,2016,50
IA,JOHNSON,2016,32
ND,GRAND FORKS,2016,61
WI,CHIPPEWA,2016,52
MN,LAKE OF THE WOODS,2016,81
MO,ST. CHARLES,2016,18
MO,CLAY,2016,14
MN,DOUGLAS,2016,64
SD,ROBERTS,2016,52
SD,HUGHES,2016,40
WY,SUBLETTE,2016,47
MN,SWIFT,2016,52
MN,DAKOTA,2016,53
IA,CLINTON,2016,33
WY,CONVERSE,2016,18
WI,RACINE,2016,37
MO,MARIES,2016,17
MT,FALLON,2016,36
IA,FLOYD,2016,45
MI,VAN BUREN,2016,34
MN,BELTRAMI,2016,79
SC,SPARTANBURG,2016,1
NY,ORANGE,2016,16
NE,BROWN,2016,23
WI,BARRON,2016,57
IN,KOSCIUSKO,2016,32
NC,WATAUGA,2016,14
MN,YELLOW MEDICINE,2016,43
MI,TUSCOLA,2016,43
MI,GRATIOT,2016,41
OK,SEQUOYAH,2016,1
KS,SHERMAN,2016,7
MI,JACKSON,2016,33
MN,WATONWAN,2016,55
IA,HARDIN,2016,37
MN,WADENA,2016,71
MI,BENZIE,2016,40
WI,DOUGLAS,2016,64
NE,WAYNE,2016,33
MI,INGHAM,2016,42
IL,MONTGOMERY,2016,24
IA,DALLAS,2016,30
NY,SULLIVAN,2016,34
IL,PIKE,2016,24
MI,HOUGHTON,2016,69
NE,BOX BUTTE,2016,22
ID,SHOSHONE,2016,79
NY,FRANKLIN,2016,52
WY,BIG HORN,2016,35
OR,BAKER,2016,29
MT,MISSOULA,2016,32
MI,CHIPPEWA,2016,49
WI,PRICE,2016,76
KY,HENDERSON,2016,15
ND,STARK,2016,49
KS,RUSSELL,2016,14
ID,MADISON,2016,50
MI,CALHOUN,2016,30
CO,LAKE,2016,48
NY,CHEMUNG,2016,18
MT,CUSTER,2016,27
IN,ELKHART,2016,28
NY,ALLEGANY,2016,34
OR,UMATILLA,2016,10
MN,HUBBARD,2016,70
OR,JOSEPHINE,2016,6
IN,TIPPECANOE,2016,25
NE,DOUGLAS,2016,23
IL,WINNEBAGO,2016,32
IL,ROCK ISLAND,2016,27
MI,ROSCOMMON,2016,49
KY,FAYETTE,2016,10
RI,NEWPORT,2016,5
NE,BURT,2016,33
IL,SALINE,2016,13
VT,WINDSOR,2016,19
MA,HAMPDEN,2016,9
MI,DICKINSON,2016,64
WV,RANDOLPH,2016,15
AK,BRISTOL BAY BOROUGH,2016,24
MT,YELLOWSTONE,2016,21
PA,LANCASTER,2016,10
MI,HURON,2016,34
WY,SWEETWATER,2016,46
WI,BROWN,2016,39
IN,MARION,2016,19
MI,WAYNE,2016,18
VT,BENNINGTON,2016,19
MD,PRINCE GEORGE'S,2016,8
WA,SPOKANE,2016,12
OH,RICHLAND,2016,24
NJ,SUSSEX,2016,8
PA,CLEARFIELD,2016,28
IA,WOODBURY,2016,30
WA,GRANT,2016,14
OR,HARNEY,2016,20
NE,CHEYENNE,2016,15
IA,POLK,2016,28
IN,MIAMI,2016,27
PA,MONTGOMERY,2016,8
WY,ALBANY,2016,37
IN,VANDERBURGH,2016,6
AK,KODIAK ISLAND BOROUGH,2016,2
NY,CHAUTAUQUA,2016,20
NY,YATES,2016,20
IN,DELAWARE,2016,18
NE,RED WILLOW,2016,12
MT,VALLEY,2016,42
ME,KENNEBEC,2016,25
VT,LAMOILLE,2016,31
MT,HILL,2016,34
IA,CERRO GORDO,2016,49
NY,OSWEGO,2016,20
MT,LEWIS AND CLARK,2016,28
ME,LINCOLN,2016,17
KY,BOONE,2016,14
WY,NATRONA,2016,23
WA,WHATCOM,2016,5
NY,JEFFERSON,2016,25
MN,GOODHUE,2016,50
IL,MARION,2016,17
MN,ITASCA,2016,76
WI,RUSK,2016,55
WI,SAUK,2016,42
IA,AUDUBON,2016,37
NC,ASHE,2016,15
MI,DELTA,2016,50
MI,MANISTEE,2016,37
IL,DUPAGE,2016,32
WA,OKANOGAN,2016,26
CO,WASHINGTON,2016,12
CO,ALAMOSA,2016,21
WY,FREMONT,2016,22
OH,FAIRFIELD,2016,17
MD,ANNE ARUNDEL,2016,5
MI,ALGER,2016,45
MA,WORCESTER,2016,21
MT,CASCADE,2016,23
IL,KNOX,2016,33
IA,CASS,2016,34
IL,RANDOLPH,2016,14
MN,WASECA,2016,49
WA,FRANKLIN,2016,13
ND,CASS,2016,53
NY,ALBANY,2016,17
OH,LUCAS,2016,26
NY,CLINTON,2016,30
ND,ADAMS,2016,36
MN,KOOCHICHING,2016,72
WV,KANAWHA,2016,13
IA,WEBSTER,2016,44
IL,EFFINGHAM,2016,18
MN,OTTER TAIL,2016,62
TN,DAVIDSON,2017,3
DE,SUSSEX,2017,6
MI,BERRIEN,2017,15
IN,BARTHOLOMEW,2017,15
ME,PENOBSCOT,2017,36
NY,QUEENS,2017,7
PA,BUCKS,2017,10
AK,KETCHIKAN GATEWAY BOROUGH,2017,6
IA,CLARKE,2017,25
NM,LINCOLN,2017,2
NC,ALAMANCE,2017,3
VA,FAIRFAX,2017,6
NJ,MORRIS,2017,15
VA,MONTGOMERY,2017,5
WV,MONONGALIA,2017,13
KY,FAYETTE,2017,6
KY,HARDIN,2017,11
IN,HOWARD,2017,18
KS,RENO,2017,9
CO,MONTROSE,2017,5
IL,ALEXANDER,2017,8
RI,NEWPORT,2017,11
VT,RUTLAND,2017,35
NY,WARREN,2017,25
PA,ERIE,2017,24
MI,CALHOUN,2017,30
IA,WAPELLO,2017,24
NE,VALLEY,2017,25
NE,CUSTER,2017,24
NE,PLATTE,2017,23
NE,CHERRY,2017,25
NV,HUMBOLDT,2017,5
CA,EL DORADO,2017,4
ID,CASSIA,2017,20
ME,YORK,2017,27
ME,ANDROSCOGGIN,2017,30
NY,CLINTON,2017,41
WI,IOWA,2017,32
MN,RICE,2017,48
MN,BLUE EARTH,2017,54
WY,CARBON,2017,28
WY,PARK,2017,30
OR,HARNEY,2017,29
OR,DESCHUTES,2017,17
WA,WHITMAN,2017,27
KS,PRATT,2017,12
NY,CORTLAND,2017,29
SD,HARDING,2017,43
NE,GRANT,2017,18
IA,DALLAS,2017,31
NE,LANCASTER,2016,18
TN,CUMBERLAND,2016,11
MO,BARTON,2016,10
MO,LINN,2016,26
NC,HENDERSON,2016,6
SD,MCPHERSON,2016,66
MI,OTSEGO,2016,72
WY,CROOK,2016,53
IL,CHAMPAIGN,2016,26
IA,JASPER,2016,33
ND,KIDDER,2016,69
AK,DILLINGHAM,2016,26
SD,YANKTON,2016,38
KS,BARTON,2016,11
MN,MARTIN,2016,52
IA,POWESHIEK,2016,35
WI,JEFFERSON,2016,52
NE,PLATTE,2016,30
UT,WAYNE,2016,3
MN,FREEBORN,2016,47
PA,BUTLER,2016,31
UT,BOX ELDER,2016,27
SD,MINNEHAHA,2016,43
KS,PRATT,2016,15
ID,TWIN FALLS,2016,18
WI,MANITOWOC,2016,41
MT,SILVER BOW,2016,41
ID,ELMORE,2016,14
NY,ONEIDA,2016,29
KS,GEARY,2016,12
MD,BALTIMORE,2016,9
PA,CENTRE,2016,26
WI,MILWAUKEE,2016,34
MI,MENOMINEE,2016,49
UT,DAVIS,2016,17
IL,MCLEAN,2016,28
IA,LINN,2016,37
MN,CROW WING,2016,65
NE,RICHARDSON,2016,20
IA,WAPELLO,2016,31
NE,ADAMS,2016,20
MT,RICHLAND,2016,40
IA,SCOTT,2016,34
SD,CODINGTON,2016,55
ND,MCLEAN,2016,58
NE,CHERRY,2016,20
MO,LIVINGSTON,2016,21
MO,JOHNSON,2016,16
CO,GUNNISON,2016,63
OH,BUTLER,2016,13
MN,CASS,2016,73
MI,OAKLAND,2016,28
MN,RICE,2016,49
MN,ROCK,2016,45
MI,IOSCO,2016,46
WI,POLK,2016,54
MI,MONROE,2016,25
KY,BELL,2016,7
WV,UPSHUR,2016,22
MN,LYON,2016,45
IA,APPANOOSE,2016,18
IL,MORGAN,2016,25
NE,BOONE,2016,28
AR,LAWRENCE,2016,5
IN,GRANT,2016,28
NE,GAGE,2016,22
KS,SHAWNEE,2016,12
OH,CLINTON,2016,19
MI,KALAMAZOO,2016,28
MI,ST. JOSEPH,2016,34
IL,VERMILION,2016,30
IA,EMMET,2016,54
WI,ASHLAND,2016,65
KY,DAVIESS,2016,13
KY,JEFFERSON,2016,7
WA,WHITMAN,2016,12
UT,GARFIELD,2016,18
OH,TRUMBULL,2016,20
ID,POWER,2016,25
SD,DAVISON,2016,39
IA,DECATUR,2016,29
WV,BROOKE,2016,20
OK,TULSA,2016,1
VT,RUTLAND,2016,29
TX,YOUNG,2016,1
CT,NEW HAVEN,2016,5
UT,CARBON,2016,20
IA,DUBUQUE,2016,38
ME,CUMBERLAND,2016,21
MT,GLACIER,2016,31
WV,BERKELEY,2016,9
TN,SULLIVAN,2016,4
IL,PEORIA,2016,24
NY,WARREN,2016,19
NY,ONONDAGA,2016,21
IL,COOK,2016,24
MA,SUFFOLK,2016,5
PA,BERKS,2016,8
ID,BONNEVILLE,2016,47
NY,MONROE,2016,21
CT,FAIRFIELD,2016,5
UT,WEBER,2016,20
IA,BLACK HAWK,2016,38
OH,MONTGOMERY,2016,18
NY,NEW YORK,2016,6
ID,VALLEY,2016,37
NC,ORANGE,2016,2
MI,SAGINAW,2016,35
MT,BEAVERHEAD,2016,34
CT,HARTFORD,2016,7
UT,GRAND,2016,11
MD,CALVERT,2016,4
MT,GARFIELD,2016,28
OK,KIOWA,2016,1
CO,GRAND,2016,40
IL,WHITE,2016,15
IL,CRAWFORD,2016,22
